osm_id,name,lat,lon,region,federal_district,cluster,cluster_name,dist_to_region_center_km,dist_to_moscow_km,federal_district_code,gps_density_5km,grp_per_capita_2021,population_2021,urban_pct
550011416,Школа,53.7416776,78.8187759,Novosibirsk,СФО,4,Кластер 5,298.789721934605,2614.3711558928885,7,0,430,2798,79
550011433,Школа,53.7709701,78.6552564,Novosibirsk,СФО,4,Кластер 5,306.6679570780511,2603.1778028396843,7,0,430,2798,79
550011443,Школа,53.9594979,79.0311111,Novosibirsk,СФО,4,Кластер 5,275.1853209185996,2618.4535727623866,7,409,430,2798,79
550052887,Школа,53.9841732,79.4164471,Novosibirsk,СФО,4,Кластер 5,251.4757138064537,2640.9304577683097,7,129,430,2798,79
550073899,Школа,54.1983194,79.3241778,Novosibirsk,СФО,4,Кластер 5,246.83880625450257,2626.734696868447,7,0,430,2798,79
550073900,Школа,53.9570435,79.63382,Novosibirsk,СФО,4,Кластер 5,240.46903489082763,2655.2668284199267,7,350,430,2798,79
550073901,Школа,54.0733702,79.8071243,Novosibirsk,СФО,4,Кластер 5,224.2900603364741,2661.088493153789,7,202,430,2798,79
550073903,Школа,54.0750415,79.7569575,Novosibirsk,СФО,4,Кластер 5,227.0911421147476,2657.971553884579,7,202,430,2798,79
550129074,Школа,53.8607311,79.022542,Novosibirsk,СФО,4,Кластер 5,280.6936006097403,2621.93878515743,7,0,430,2798,79
551024103,Академический лицей 2-й корпус,56.4994563,85.0654564,Tomsk,СФО,4,Кластер 5,4.51698732945843,2882.754999085624,7,81963,543,1077,70
554839725,Гимназия №69,53.347433,83.7660326,Altay,СФО,6,Кластер 7,163.86597214880595,2932.579287852519,7,82363,278,2298,58
555344184,Средняя школа №7,61.6218078,72.148047,Khanty-Mansiy,УФО,0,Кластер 1,180.57074811051513,2070.695453292843,6,27391,2396,1694,92
560540893,Атамановская средняя школа,53.7843429,87.3883241,Kemerovo,СФО,4,Кластер 5,193.66949572744585,3130.8463219792575,7,59277,557,2666,86
563038008,Верх-Ирменская школа-интернат для детей с ограничеными возможностьями здоровья,54.5799681,82.2338712,Novosibirsk,СФО,4,Кластер 5,62.61343933613969,2787.4244320634675,7,9440,430,2798,79
567791118,Поддубровинская школа,56.9159719,70.5921938,Tyumen',УФО,4,Кластер 5,100.22349372067096,2016.7750215149729,6,568,780,1558,77
568943075,Эврика-Развитие,56.4956055,85.0535419,Tomsk,СФО,4,Кластер 5,3.8434482859233863,2882.1977146879913,7,81963,543,1077,70
570412131,Вылковская Школа,53.0766952,81.4228353,Altay,СФО,6,Кластер 7,162.26997302076035,2802.1274104899403,7,2538,278,2298,58
572275610,Рыбинская средняя общеобразовательная школа,53.5694008,81.4108895,Altay,СФО,6,Кластер 7,207.40953002562327,2779.6988038921254,7,12,278,2298,58
572783017,Столбовская средняя школа,53.9204316,81.4678113,Altay,СФО,6,Кластер 7,240.14900631739877,2768.2139358075015,7,0,278,2298,58
572787453,"Филиал МКОУ ""Столбовская СОШ""",53.880831,81.3290512,Altay,СФО,6,Кластер 7,240.2613786249555,2761.4589287866806,7,0,278,2298,58
573671473,Боровская ООШ,54.0301124,81.1852763,Altay,СФО,6,Кластер 7,259.3327689906155,2746.512671554318,7,926,278,2298,58
574957076,Детская эколого-биологическая станция,53.8022943,81.3310012,Altay,СФО,6,Кластер 7,232.50627710384785,2764.888440363301,7,2084,278,2298,58
574967308,Средняя общеобразовательная школа №1,53.7779611,81.3452505,Altay,СФО,6,Кластер 7,229.68403190992984,2766.784397607876,7,2084,278,2298,58
574981689,Начальная общеобразовательная школа №8,53.7863186,81.3566847,Altay,СФО,6,Кластер 7,230.13881380812833,2767.1246754660997,7,30,278,2298,58
575275721,Мичуринская средняя школа,53.4778575,79.7327587,Altay,СФО,6,Кластер 7,275.416685802671,2681.2735679368993,7,0,278,2298,58
577465535,Лицей №1,56.3015218,90.5318653,Krasnoyarsk,СФО,4,Кластер 5,147.286094322854,3206.3341463226793,7,49080,884,2866,77
580169481,Таймырское муниципальное казённое общеобразовательное учреждение «Дудинская средняя школа №3»,69.4026985,86.1819893,Krasnoyarsk,СФО,3,Кластер 4,1525.3833204046673,2802.331006557312,7,198123,884,2866,77
582340911,"Филиал № 1 Школы-интерната № 18 ОАО ""РЖД""",53.7740013,81.29282,Altay,СФО,6,Кластер 7,230.98291836050976,2763.7672004907354,7,2084,278,2298,58
584103704,Заринская школа имени М.А. Аверина,55.016708,85.9363674,Kemerovo,СФО,4,Кластер 5,38.689413353202134,2990.6662870685454,7,1873,557,2666,86
584142253,Красулинская основная общеобразовательная школа,54.0249612,87.0782182,Kemerovo,СФО,4,Кластер 5,160.95053257244152,3101.357013134562,7,87560,557,2666,86
586623653,Ново-Зоринская Начальная Общеобразовательная Школа,53.8799567,83.1863362,Altay,СФО,6,Кластер 7,214.3557688818783,2873.9592938215496,7,0,278,2298,58
586795493,Лушниковская Основная Общеобразовательная школа,54.0162499,83.5131722,Altay,СФО,6,Кластер 7,231.94020477220735,2887.824643486061,7,808,278,2298,58
587432300,Таскаевская начальная общеобразовательная школа,53.8537357,83.6858413,Altay,СФО,6,Кластер 7,216.4339600068479,2905.258916480152,7,1560,278,2298,58
587450067,Новотроицкая средняя общеобразовательная школа,53.8979016,83.7292313,Altay,СФО,6,Кластер 7,221.87328698037103,2905.9579869133063,7,1560,278,2298,58
587533662,Шадринцевская средняя общеобразовательная школа,53.9431326,83.971347,Altay,СФО,6,Кластер 7,230.98199069117172,2918.5931261430005,7,7450,278,2298,58
587667972,Загайновская начальная общеобразовательная школа,54.0675357,83.8167826,Altay,СФО,6,Кластер 7,241.55845930443968,2903.917398186004,7,0,278,2298,58
588323053,Плотниковская средняя школа,56.859066,83.0739311,Tomsk,СФО,4,Кластер 5,123.69582141446,2754.715359196484,7,366,543,1077,70
588323057,Вороновская начальная школа,56.828235,83.4590486,Tomsk,СФО,4,Кластер 5,100.44730861444114,2778.117202782699,7,128,543,1077,70
588582467,Школа №2,55.6728114,84.3914929,Novosibirsk,СФО,4,Кластер 5,120.91643734928974,2873.461206949272,7,4900,430,2798,79
588904917,Средняя общеобразовательная школа №10,53.3979327,83.9331912,Altay,СФО,6,Кластер 7,173.1076560762912,2940.42852437802,7,57893,278,2298,58
589405709,Малиновская средняя общеобразовательная школа имени Героя России Виталия Вольфа,52.963352,80.7980472,Altay,СФО,6,Кластер 7,184.37051436424872,2768.996649570411,7,2692,278,2298,58
589575680,Школа № 2 (закрыта),52.831342,80.9031158,Altay,СФО,6,Кластер 7,170.13733769307444,2781.4071729322377,7,3204,278,2298,58
589620966,Гилево-Логовская средняя общеобразовательная школа,52.7682978,81.0763549,Altay,СФО,6,Кластер 7,156.5647001882194,2794.9049770751617,7,1491,278,2298,58
589653343,Светловская средняя общеобразовательная школа,52.9067946,81.0553696,Altay,СФО,6,Кластер 7,166.8586089124252,2787.310163386733,7,0,278,2298,58
589880651,Гилёвская средняя общеобразовательная школа имени Героя Социалистического Труда А.Я. Эрнста,52.8612165,81.1020792,Altay,СФО,6,Кластер 7,161.2625330507479,2792.240377299976,7,0,278,2298,58
589942497,Школа,53.3553478,84.4904164,Altay,СФО,6,Кластер 7,186.5882974062516,2976.1045405316436,7,0,278,2298,58
